seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr15	99259768	99260168	401	*	Intron (ENSMUST00000231167.1/73600, intron 1 of 2)	15	99242817	99251961	9145	2	51812	ENSMUST00000041190.16	-7808	ENSMUSG00000037570	Mcrs1	microspherule protein 1
chr17	36198490	36198890	401	*	Exon (ENSMUST00000173290.3/ENSMUST00000173290.3, exon 1 of 3)	17	36185573	36190287	4715	2	15043	ENSMUST00000102675.9	-8204	ENSMUSG00000054128	H2-T3	histocompatibility 2, T region locus 3
chr11	33931903	33932303	401	*	Intron (ENSMUST00000238903.1/70357, intron 1 of 7)	11	33963013	33973641	10629	1	16533	ENSMUST00000020362.2	-30710	ENSMUSG00000020155	Kcnmb1	potassium large conductance calcium-activated channel, subfamily M, beta member 1
chr3	152478772	152479172	401	*	Promoter	3	152472739	152478515	5777	2	229949	ENSMUST00000198552.1	-258	ENSMUSG00000039058	Ak5	adenylate kinase 5
chr18	79257047	79257601	555	*	Distal Intergenic	18	78750380	79109391	359012	2	240427	ENSMUST00000025430.10	-147657	ENSMUSG00000024548	Setbp1	SET binding protein 1
chr18	33667146	33667546	401	*	Distal Intergenic	18	33794892	33795986	1095	1	69749	ENSMUST00000146010.2	-127346	ENSMUSG00000087590	Epb41l4aos	erythrocyte membrane protein band 4.1 like 4a, opposite strand
chr4	88640951	88641351	401	*	Downstream (2-3kb)	4	88643641	88644459	819	2	230396	ENSMUST00000105149.2	3108	ENSMUSG00000063376	Ifna13	interferon alpha 13
chr2	70825608	70826008	401	*	Promoter	2	70712407	70825728	113322	2	228012	ENSMUST00000038584.8	0	ENSMUSG00000041997	Tlk1	tousled-like kinase 1
chr2	70962889	70963289	401	*	Downstream (1-2kb)	2	70966165	70973388	7224	2	228019	ENSMUST00000140293.1	10099	ENSMUSG00000041975	Mettl8	methyltransferase like 8
chr11	23497865	23498265	401	*	Promoter	11	23487882	23497930	10049	2	268390	ENSMUST00000109539.7	0	ENSMUSG00000020288	Ahsa2	AHA1, activator of heat shock protein ATPase 2
